decision_state_id,dataset_id,machine_archetype,decision_severity,temporal_type,top_recommended_action,top_action_name,top_suitability_score,top_urgency_score,top_effectiveness_score,top_operational_risk,top_confidence,top_final_verdict,top_reasoning_summary,alternative_actions,candidate_ranking_order,num_candidates_evaluated,insufficient_information,uncertainty_explanation,llm_provider,llm_model,eval_latency_ms,evaluated_at
DS_AI4I_2125,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.9,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002102+00:00
DS_AI4I_2166,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,15,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002113+00:00
DS_AI4I_2864,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.95,RECOMMENDED,Critically high tool wear demands immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002125+00:00
DS_AI4I_4138,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,90,20,0.95,RECOMMENDED,Critical severity requires an immediate controlled shutdown to prevent catastrophic failure.,"[""ACT_OP_DERATE_LOAD"", ""ACT_REPL_TOOL_INSERT"", ""ACT_INSP_TOOL_WEAR""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002137+00:00
DS_AI4I_4292,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,15,0.95,RECOMMENDED,Critically high tool wear demands immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002210+00:00
DS_AI4I_4296,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.95,RECOMMENDED,Critical tool wear requires immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002220+00:00
DS_AI4I_4651,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,95,20,0.9,RECOMMENDED,Immediate controlled shutdown is required given the critical severity tier.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_REPL_TOOL_INSERT""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002231+00:00
DS_AI4I_4731,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,95,70,0.9,RECOMMENDED,Critical tool wear; immediate replacement needed.,"[""ACT_OP_DERATE_LOAD"", ""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_DERATE_LOAD > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002242+00:00
DS_AI4I_4976,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,15,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002251+00:00
DS_AI4I_4997,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,95,20,0.9,RECOMMENDED,Critical severity necessitates immediate controlled shutdown to prevent catastrophic failure.,"[""ACT_OP_DERATE_LOAD"", ""ACT_REPL_TOOL_INSERT""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002262+00:00
DS_AI4I_5394,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.95,RECOMMENDED,High tool wear requires immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_OP_DERATE_LOAD""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002280+00:00
DS_AI4I_5490,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,90,20,0.9,RECOMMENDED,Critical severity demands an immediate orderly shutdown to prevent catastrophic asset failure.,"[""ACT_OP_DERATE_LOAD"", ""ACT_INSP_TOOL_WEAR""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002291+00:00
DS_AI4I_6248,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002301+00:00
DS_AI4I_7011,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,95,15,0.9,RECOMMENDED,Critical severity requires immediate controlled shutdown to prevent catastrophic failure.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_REPL_TOOL_INSERT""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002312+00:00
DS_AI4I_7510,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,90,20,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002322+00:00
DS_AI4I_7763,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,98,95,20,0.95,RECOMMENDED,Critical severity state demands an immediate controlled shutdown to prevent catastrophic failure.,"[""ACT_OP_DERATE_LOAD"", ""ACT_INSP_TOOL_WEAR""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002333+00:00
DS_AI4I_7884,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.95,RECOMMENDED,Critical tool wear requires immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002343+00:00
DS_AI4I_9174,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,10,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002354+00:00
DS_AI4I_9758,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,15,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002365+00:00
DS_AI4I_7502,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,95,20,0.95,RECOMMENDED,High tool wear indicates imminent failure requiring immediate insert replacement.,"[""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002376+00:00
DS_AI4I_8845,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,90,15,0.95,RECOMMENDED,High tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002386+00:00
DS_AI4I_4730,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_INSP_TOOL_WEAR,ACT_INSP_TOOL_WEAR,92,85,90,10,0.95,RECOMMENDED,High tool wear indicates imminent failure requiring immediate optical inspection.,"[""ACT_REPL_TOOL_INSERT""]",ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002395+00:00
DS_AI4I_7424,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,95,10,0.95,RECOMMENDED,High tool wear requires immediate insert replacement to prevent failure.,"[""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002405+00:00
DS_AI4I_4029,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_INSP_TOOL_WEAR,ACT_INSP_TOOL_WEAR,95,85,90,10,0.95,RECOMMENDED,High tool wear directly warrants immediate physical inspection to prevent failure.,"[""ACT_REPL_TOOL_INSERT""]",ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002416+00:00
DS_AI4I_8927,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,95,15,0.95,RECOMMENDED,High tool wear indicates imminent failure requiring immediate replacement insert.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002425+00:00
DS_AI4I_7508,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,95,15,0.9,RECOMMENDED,High tool wear requires immediate insert replacement to prevent failure.,"[""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002434+00:00
DS_AI4I_4022,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,90,25,0.9,RECOMMENDED,High tool wear requires immediate insert replacement to prevent workpiece damage.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002444+00:00
DS_AI4I_8194,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,95,15,0.9,RECOMMENDED,High tool wear requires immediate insert replacement to prevent failure.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002453+00:00
DS_AI4I_748,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_INSP_TOOL_WEAR,ACT_INSP_TOOL_WEAR,92,85,90,15,0.9,RECOMMENDED,Directly evaluates advanced tool wear and mechanical load to prevent catastrophic failure.,"[""ACT_REPL_TOOL_INSERT"", ""ACT_OP_ADJUST_PARAMS""]",ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002461+00:00
DS_AI4I_4985,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,85,90,20,0.95,RECOMMENDED,High tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002469+00:00
DS_AI4I_4550,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,90,20,0.9,RECOMMENDED,High tool wear directly warrants cutting insert replacement.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002478+00:00
DS_AI4I_2242,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_MON_ENHANCED,ACT_MON_ENHANCED,95,20,85,5,0.9,RECOMMENDED,High monitoring for early detection.,"[""ACT_OP_ADJUST_PARAMS""]",ACT_MON_ENHANCED > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_ADJUST_PARAMS,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002488+00:00
DS_AI4I_7504,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,95,10,0.9,RECOMMENDED,High tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002497+00:00
DS_AI4I_1590,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_INSP_TOOL_WEAR,ACT_INSP_TOOL_WEAR,95,85,90,10,0.95,RECOMMENDED,High tool wear requires immediate optical inspection to assess flank degradation.,"[""ACT_REPL_TOOL_INSERT"", ""ACT_OP_ADJUST_PARAMS""]",ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002510+00:00
DS_AI4I_9496,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,95,10,0.95,RECOMMENDED,High tool wear directly warrants immediate insert replacement to prevent failure.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002519+00:00
DS_AI4I_6076,ai4i_2020,cnc_mill,DEGRADING,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,92,85,95,15,0.95,RECOMMENDED,High tool wear requires immediate insert replacement to prevent workpiece failure.,"[""ACT_INSP_TOOL_WEAR"", ""ACT_OP_ADJUST_PARAMS""]",ACT_REPL_TOOL_INSERT > ACT_INSP_TOOL_WEAR > ACT_OP_ADJUST_PARAMS > ACT_MON_ENHANCED,4,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002528+00:00
